Year Built,Basement Area (sqft),Living Area (sqft),Total Room,Garage Cars,Yr Sold,SalePrice,Garage,Age (years)
1976,1680,1680,8,2,2007,136905,L,31
1946,979,1958,8,2,2007,145000,L,61
1915,686,1652,7,1,2010,139000,S,95
1965,894,894,5,1,2010,138500,S,45
2007,1266,1266,6,2,2008,159895,L,1
1999,672,1404,5,2,2008,170000,L,9
1967,1372,1342,7,2,2009,161500,L,42
2005,1844,1844,7,2,2009,257000,L,4
1961,1800,1800,10,0,2007,141000,S,46
1910,676,1436,6,2,2006,98000,L,96
1993,1079,1879,8,2,2009,239900,L,16
1983,1496,2132,5,2,2009,316600,L,26
1914,864,864,5,0,2008,67000,S,94
1968,832,1978,9,2,2008,176000,L,40
1959,988,988,6,1,2009,149500,S,50
1923,1296,2592,12,0,2007,150000,S,84
1953,0,1210,7,1,2009,102900,S,56
1910,356,1049,5,1,2008,80900,S,98
2003,848,848,4,2,2009,140000,L,6
1920,290,438,3,1,2009,60000,S,89
1961,1313,1773,6,2,2006,183000,L,45
2000,1168,2787,8,4,2009,269500,L,9
1920,698,1128,6,2,2010,68400,L,90
1955,384,1360,6,2,2007,130000,L,52
1926,960,986,5,1,2007,102000,S,81
1911,940,1964,7,0,2008,130000,S,97
2004,1462,2224,10,3,2009,350000,L,5
1927,851,1718,8,2,2007,238000,L,80
2007,813,1665,7,2,2008,205950,L,1
1950,0,1040,6,2,2009,92900,L,59
1934,715,1660,6,1,2008,188700,S,74
1980,1235,1235,4,2,2006,214000,L,26
1935,666,3086,9,3,2007,301600,L,72
1967,992,992,6,1,2008,145000,S,41
1958,874,1524,7,1,2007,144000,S,49
1948,699,1527,6,2,2009,152500,L,61
1996,1065,2049,9,2,2006,210900,L,10
1975,836,836,4,1,2010,120000,S,35
1964,845,2154,8,2,2007,224500,L,43
1977,1949,1949,10,2,2006,157000,L,29
2004,770,1582,6,2,2008,185900,L,4
1900,570,1141,6,1,2007,85000,S,107
1936,264,800,4,0,2009,60000,S,73
2002,817,1894,8,2,2010,214900,L,8
2004,1594,1646,5,2,2010,246000,L,6
1908,907,2358,10,2,2008,240000,L,100
1994,990,990,5,1,2007,126000,S,13
2008,1468,1468,6,3,2009,244600,L,1
2005,1362,1506,6,2,2006,213490,L,1
2007,1566,1600,7,3,2009,256300,L,2
2000,1381,1403,5,2,2006,202000,L,6
1997,928,1764,7,2,2009,231500,L,12
1969,784,1968,7,2,2008,172000,L,39
1980,728,788,3,2,2010,155000,L,30
1994,990,990,5,2,2009,138000,L,15
1920,662,1324,6,1,2010,122000,S,90
1978,855,1456,7,2,2010,146000,L,32
1967,936,936,4,1,2007,118500,S,40
1963,725,1651,6,1,2007,172000,S,44
1915,880,1308,6,2,2008,120000,L,93
1998,932,1633,7,2,2008,183000,L,10
2007,1314,1314,6,2,2009,230000,L,2
1929,1022,1671,7,2,2006,218000,L,77
1976,1015,1025,6,2,2007,153500,L,31
1995,1220,2090,8,2,2007,240000,L,12
1965,2136,2036,8,2,2009,375000,L,44
1978,450,1034,6,2,2008,153000,L,30
1961,1218,1254,6,2,2007,158500,L,46
1939,676,1352,7,2,2009,149000,L,70
1992,1334,2826,9,3,2006,334000,L,14
1995,1494,1494,6,2,2006,270000,L,11
1915,698,1403,7,1,2009,116000,S,94
1991,1454,1478,6,2,2007,210000,L,16
1997,1173,2199,9,2,2008,284500,L,11
1954,936,984,4,1,2008,112500,S,54
2001,1541,1541,6,3,2006,205000,L,5
1968,833,898,6,1,2006,140000,S,38
1983,816,816,4,1,2008,128500,S,25
1996,1720,1720,7,2,2010,260400,L,14
1954,1050,1050,6,1,2006,156000,S,52
1925,780,1208,5,2,2009,103000,L,84
1977,1602,1602,8,2,2009,215000,L,32
1977,1040,1040,5,2,2007,134900,L,30
2005,2458,2490,9,3,2009,468000,L,4
1970,630,630,3,0,2007,84500,S,37
1926,686,1461,6,1,2007,135000,S,81
1973,483,987,5,1,2009,111000,S,36
2007,1372,1372,6,2,2008,250580,L,1
1952,960,1960,10,2,2009,124500,L,57
1952,910,1385,6,2,2010,166000,L,58
1900,676,1445,6,2,2010,138500,L,110
1923,1100,1902,7,2,2008,123500,L,85
1988,1004,1020,4,2,2007,200000,L,19
2001,1299,1872,7,2,2009,261500,L,8
2007,1542,1542,6,3,2007,260261,L,0
1972,725,1479,7,2,2007,184000,L,35
1994,928,1721,7,2,2007,201000,L,13
2003,1434,2149,6,2,2009,239686,L,6
1926,750,1316,7,2,2007,90000,L,81
1999,975,2291,8,2,2006,230000,L,7
1972,385,875,5,2,2007,117000,L,35
1977,264,1304,5,1,2006,104500,S,29
1968,570,1920,8,2,2006,170000,L,38
1977,908,2288,8,2,2009,230000,L,32
1973,672,1218,7,1,2007,113000,S,34
2003,2452,2452,10,3,2009,445000,L,6
2008,1566,1566,7,2,2010,262500,L,2
1961,1313,1313,6,2,2009,153000,L,48
1941,480,540,4,1,2010,82000,S,69
1940,720,1215,6,2,2007,141000,L,67
1940,1580,1518,5,0,2008,260000,S,68
1965,864,864,5,1,2009,62383,S,44
1969,1188,1404,7,2,2009,160000,L,40
1948,780,1323,6,2,2008,122600,L,60
1954,864,948,5,1,2007,111000,S,53
1923,1065,1635,6,2,2007,210000,L,84
2000,1107,2052,7,3,2009,251000,L,9
1968,1388,1388,6,2,2006,158900,L,38
1971,1010,1052,6,2,2010,155000,L,39
1950,932,932,4,1,2007,124000,S,57
1914,864,864,5,1,2010,58500,S,96
1975,1057,1055,4,2,2009,123000,L,34
1964,1152,1152,6,2,2010,180500,L,46
1996,870,965,4,2,2010,159000,L,14
1926,1290,1422,6,1,2007,136500,S,81
1959,1248,1440,7,1,2008,185000,S,49
2006,939,1797,8,2,2007,213500,L,1
2007,1638,1646,7,3,2008,293077,L,1
2000,982,1800,7,2,2009,179000,L,9
1964,1092,1092,6,2,2008,145000,L,44
1996,1379,2398,8,3,2007,315750,L,11
1926,818,1224,5,1,2009,115000,S,83
1996,1840,2032,7,3,2008,300000,L,12
1960,894,894,5,1,2007,117600,S,47
2005,756,1553,6,2,2006,186500,L,1
1966,1092,1092,6,1,2008,123000,S,42
1998,1470,2630,8,3,2008,315000,L,10
1960,1269,1269,6,1,2008,155000,S,48
1967,932,2640,8,2,2009,256900,L,42
1952,0,1488,7,2,2006,135000,L,54
1954,1050,1795,7,1,2008,131500,S,54
2009,2330,2364,11,3,2010,611657,L,1
1968,1295,1295,6,2,2007,164000,L,39
1972,732,1790,8,2,2006,165150,L,34
2005,1175,2324,11,3,2006,345000,L,1
2006,1598,1606,6,3,2009,255900,L,3
1976,1127,1127,6,2,2008,135000,L,32
1984,1105,1822,7,2,2007,228500,L,23
1950,910,1558,6,1,2007,152000,S,57
2005,1552,1552,7,3,2006,212900,L,1
1964,1302,1128,6,2,2007,154204,L,43
1900,797,1627,10,2,2008,139500,L,108
2006,1143,1143,5,0,2007,147000,S,1
1920,611,1362,6,2,2008,128000,L,88
1992,836,1737,7,2,2008,175000,L,16
2006,1588,1588,7,3,2007,227000,L,1
2006,1286,1294,6,2,2006,193879,L,0
1972,630,1302,6,1,2008,111750,S,36
1975,1390,1701,6,2,2007,171000,L,32
1930,960,1920,10,2,2008,161900,L,78
1996,1260,1288,4,2,2008,245500,L,12
1977,855,1456,6,2,2009,137900,L,32
1949,1067,1523,7,1,2009,158000,S,60
1972,864,864,5,1,2006,119900,S,34
1949,448,1588,6,0,2008,65000,S,59
1997,1396,2392,7,3,2006,348000,L,9
2007,1934,2656,8,3,2007,492000,L,0
1920,755,1510,6,1,2006,149000,S,86
2007,1386,1569,7,3,2009,175900,L,2
1954,1062,1062,6,1,2009,131000,S,55
1977,0,1654,10,2,2006,119500,L,29
1984,1153,1177,6,2,2007,151500,L,23
1959,876,876,5,1,2009,85000,S,50
1957,1073,1073,6,2,2007,140000,L,50
1960,894,894,5,2,2009,141500,L,49
1969,1054,1054,6,2,2008,151000,L,39
1987,1191,1204,5,2,2006,130000,L,19
1976,803,1964,8,2,2008,205000,L,32
2002,840,1720,7,2,2008,188000,L,6
1941,806,1578,5,1,2006,133000,S,65
2008,1736,1736,7,3,2009,360000,L,1
2007,1120,1120,6,0,2007,147000,S,0
1975,1076,1076,5,2,2008,143195,L,33
2002,914,914,4,0,2006,117250,S,4
1999,941,1644,7,2,2007,185000,L,8
1960,1075,1507,7,1,2008,127000,S,48
1989,1337,1337,5,2,2008,188500,L,19
1920,720,720,4,0,2009,34900,S,89
1968,1437,1473,5,1,2009,143000,S,41
1993,1152,1797,7,2,2010,231000,L,17
1980,845,2353,10,2,2009,260000,L,29
1924,1145,1301,5,2,2009,100000,L,85
1977,923,1008,4,2,2007,153500,L,30
1910,560,1346,6,1,2007,112000,S,97
1977,506,1212,6,2,2006,151000,L,29
1963,1064,1040,5,2,2007,132250,L,44
2008,768,1590,6,2,2009,210000,L,1
1917,689,1224,6,1,2010,107500,S,93
2001,920,1786,6,2,2008,223500,L,7
1976,780,1868,9,2,2009,197500,L,33
1954,988,1626,6,1,2007,154000,S,53
1937,731,1768,7,1,2007,175000,S,70
2006,1504,1531,6,3,2009,300000,L,3
1892,994,2372,11,1,2009,107500,S,117
1998,970,2393,7,2,2008,345000,L,10
2006,1140,1140,6,0,2006,84500,S,0
2003,835,1663,8,2,2008,192500,L,5
2007,1302,1302,6,2,2007,176485,L,0
1992,808,1593,7,2,2009,178000,L,17
1996,913,2122,8,2,2009,220000,L,13
1920,915,1167,6,2,2007,144000,L,87
2005,1220,1220,5,2,2009,180000,L,4
1997,945,1608,7,2,2009,189500,L,12
2005,1094,2482,9,3,2007,281213,L,2
1953,1000,1609,7,1,2006,149900,S,53
2005,1577,1577,6,2,2007,280000,L,2
2006,1511,1565,5,2,2007,193800,L,1
2007,1596,1648,5,2,2008,294464,L,1
1952,864,1064,4,1,2010,135000,S,58
1968,720,1440,7,2,2010,163000,L,42
1978,907,907,5,1,2009,140000,S,31
1997,1478,1493,7,2,2008,208900,L,11
1956,1509,1509,6,1,2008,159900,S,52
2005,1058,1904,8,2,2006,275000,L,1
2006,2036,2640,11,3,2006,405749,L,0
1910,796,796,4,0,2008,85000,S,98
1998,1153,2031,8,2,2008,222500,L,10
1994,1679,1803,6,2,2010,285000,L,16
1972,864,864,5,2,2007,127000,L,35
1966,1182,1643,6,2,2008,195000,L,42
1999,1462,1513,5,2,2009,220000,L,10
1981,0,1882,8,2,2009,160000,L,28
1952,720,882,4,1,2008,116000,S,56
1954,1297,1297,5,2,2009,153000,L,55
1995,1680,1680,7,2,2007,170000,L,12
1956,1196,1196,6,1,2008,139000,S,52
1925,672,1482,7,1,2008,140000,S,83
2000,384,1430,8,2,2007,170000,L,7
1970,1004,1004,5,2,2010,149000,L,40
2006,1234,2576,10,3,2006,361919,L,0
1956,1058,1370,6,1,2006,148000,S,50
1954,994,1855,7,1,2006,136900,S,52
1968,1488,1488,7,2,2007,215000,L,39
1963,912,912,6,1,2009,129000,S,46
1923,602,1502,7,1,2007,165000,S,84
1939,0,845,4,1,2007,68104,S,68
1915,672,1214,6,3,2006,105000,L,91
1920,624,1248,8,0,2006,93500,S,86
2005,784,1585,7,2,2006,184900,L,1
1966,697,2201,8,2,2006,274970,L,40
1983,816,816,4,1,2007,139000,S,24
1950,988,1612,7,1,2010,128500,S,60
2007,1351,1361,6,2,2008,193000,L,1
1955,1078,1150,6,1,2007,144000,S,52
2007,1615,1615,7,3,2008,248500,L,1
1971,715,1645,7,2,2010,171000,L,39
2006,1314,1314,6,2,2007,176432,L,1
1912,780,1560,7,0,2010,159900,S,98
1954,901,901,4,1,2008,107900,S,54
1937,825,1497,5,1,2008,157000,S,71
2005,1100,1964,8,2,2006,252000,L,1
1900,0,1294,7,0,2008,106250,S,108
1968,1113,1160,6,1,2008,152500,S,40
1993,1173,2232,8,2,2009,263550,L,16
1946,904,1499,5,3,2008,140000,L,62
2006,738,1492,8,2,2006,185101,L,0
1925,936,1601,6,0,2007,129850,S,82
1970,630,630,3,1,2009,86000,S,39
1979,1086,1224,6,2,2009,153337,L,30
2004,1422,1422,7,2,2007,179600,L,3
2005,1814,1826,7,3,2006,319000,L,1
1959,1148,1148,6,1,2009,132500,S,50
1973,2223,2223,8,2,2007,244000,L,34
1998,804,1682,7,2,2010,200500,L,12
1890,346,2268,7,2,2010,240000,L,120
2007,1340,1340,6,2,2007,181134,L,0
2006,1573,1625,5,2,2007,235000,L,1
2004,860,1720,7,2,2006,196500,L,2
1998,1141,2263,10,2,2006,258000,L,8
1999,1177,2312,8,3,2009,245000,L,10
1958,1632,1650,6,2,2006,250764,L,48
2005,1368,1368,6,2,2006,202500,L,1
1962,621,1269,7,1,2008,134500,S,46
1958,160,1142,5,1,2009,113500,S,51
2009,1766,1766,7,3,2009,370878,L,0
1940,728,1306,6,0,2010,76500,S,70
2005,1026,1958,9,3,2008,250000,L,3
1974,1084,1877,8,2,2007,178900,L,33
1967,864,864,5,1,2009,130000,S,42
2007,1162,1162,6,2,2008,170000,L,1
1977,1567,1567,5,2,2009,196000,L,32
1979,1001,1299,5,2,2007,183500,L,28
1999,1431,1431,6,2,2009,192000,L,10
1976,1565,2898,10,2,2008,287000,L,32
2001,1055,2263,7,2,2008,287000,L,7
2007,948,2088,10,3,2008,250000,L,1
1913,440,694,4,1,2007,90350,S,94
1991,1104,2127,8,3,2007,238000,L,16
1995,1462,2794,9,3,2009,403000,L,14
1951,900,900,5,2,2010,134800,L,59
1978,1427,1671,7,2,2009,200000,L,31
1966,1127,1165,6,2,2008,174900,L,42
1982,840,860,4,2,2009,137000,L,27
1919,804,2447,10,1,2010,169000,S,91
1948,768,1320,5,2,2008,138000,L,60
1936,672,1324,6,1,2009,128000,S,73
1956,1104,1104,5,1,2008,133000,S,52
1993,777,1911,8,2,2006,215000,L,13
1915,672,1944,8,1,2009,179900,S,94
1954,811,1387,7,1,2009,93000,S,55
1974,901,1876,8,2,2008,185000,L,34
1966,1080,1128,5,1,2010,178000,S,44
1991,1288,2417,9,2,2006,260000,L,15
2005,1721,1721,7,2,2007,232698,L,2
2005,1113,1971,8,2,2009,253000,L,4
1972,483,987,5,1,2006,94500,S,34
1948,672,1285,6,1,2008,127000,S,60
1998,866,1779,6,2,2009,197900,L,11
1925,816,816,4,1,2006,109000,S,81
1962,1116,1116,5,2,2010,160000,L,48
1910,677,1510,7,2,2009,87500,L,99
2003,1650,3279,12,3,2010,538000,L,7
2006,1372,1448,6,2,2009,238500,L,3
2002,1441,1392,6,3,2007,215000,L,5
1999,1490,1501,6,2,2009,204000,L,10
2004,798,1640,6,2,2008,173000,L,4
1985,1488,1502,4,2,2010,212000,L,25
1992,1158,1167,6,2,2009,173000,L,17
1955,1617,1867,7,1,2009,190000,S,54
1972,483,987,5,1,2009,118000,S,37
1959,1188,1188,6,2,2010,142000,L,51
1966,1562,1567,5,2,2009,256000,L,43
1981,1842,1842,5,3,2006,385000,L,25
1987,1200,1200,5,0,2009,179000,S,22
1973,525,1092,6,2,2006,105500,L,33
1977,1069,1069,4,2,2010,127500,L,33
2005,1247,1247,4,2,2006,197000,L,1
1984,833,833,5,2,2010,149900,L,26
2008,2042,2042,8,3,2009,253293,L,1
1916,844,2134,10,2,2009,214500,L,93
1991,836,1709,7,2,2008,185000,L,17
1935,608,1873,9,2,2008,257076,L,73
1963,936,1054,6,2,2010,137500,L,47
1930,768,768,4,2,2008,93850,L,78
2006,1125,1125,5,2,2007,155000,L,1
2010,1856,1856,8,3,2010,394432,L,0
1959,1422,1675,8,1,2010,173000,S,51
1902,1020,1864,9,0,2009,97500,S,107
1949,832,1461,6,1,2009,133500,S,60
1955,0,1152,6,0,2008,82000,S,53
1925,1181,1694,7,2,2008,136500,L,83
1975,1621,1621,7,2,2009,213000,L,34
2000,384,1430,7,2,2010,180000,L,10
1949,0,1382,6,1,2007,110000,S,58
1970,882,882,4,2,2010,126000,L,40
1958,960,960,5,0,2010,90000,S,52
2005,1257,1266,6,2,2006,176000,L,1
1955,1440,1440,8,0,2008,118000,S,53
2007,1184,2610,11,2,2007,303477,L,0
1938,861,1409,6,2,2007,126000,L,69
1930,966,1426,6,1,2007,131750,S,77
2000,1160,2234,7,3,2006,300000,L,6
2007,1373,1555,7,3,2009,174000,L,2
2000,756,1512,5,2,2010,177000,L,10
1978,1032,1032,6,2,2007,148000,L,29
2005,1614,1614,7,3,2007,245700,L,2
1964,816,1977,9,2,2007,165000,L,43
1940,672,672,4,1,2008,108000,S,68
1966,1056,1056,5,1,2006,107000,S,40
2005,1175,1175,6,0,2008,146000,S,3
1935,894,894,6,3,2008,81000,L,73
1992,750,1923,8,2,2010,190000,L,18
2008,1751,1766,8,3,2008,395039,L,0
1958,1442,1442,7,1,2007,157900,S,49
1928,1122,1981,7,2,2009,135000,L,81
2007,728,1456,8,2,2007,179540,L,0
1935,270,729,5,0,2008,52000,S,73
1920,691,691,4,1,2007,86000,S,87
